"Rest ID","Venue","Region","Suburb","Postcode","Start Balance","Change","Current (11/04/26)","Portfolio Start Date","AM Name"
"19F11664-9F05-4D66-8D15-263E878C0D4F","David Jones - Rotisserie","Sydney","Sydney City","2000","379.062","0.00","379.062","1/04/26","Elliot Rayment"
"F2FB27FF-89C3-4721-B9DD-441ED47A2351","Authentic Bites Dumpling House - Northbridge","Perth","Perth City","6000","376.25","0.00","376.25","1/04/26","Libby Egan"
"73855D31-0F08-4A67-8BC2-9983BFA82F0A","Joseph Hates Coffee","Brisbane","Outer Brisbane","4007","375","0.00","375","1/04/26","Mark Savaille"
"C545A5E8-5F01-468C-A387-A4825813593B","Pazza Pizza","Melbourne","Essendon","3032","116.125","258.38","374.5","1/04/26","Tom Mcgay"
"5DC5EB48-2459-4373-9D01-BA3E570B2B9B","O'Skulligans","Brisbane","Brisbane City","4006","373.75","0.00","373.75","1/04/26","Matthew Behan"
"21977EBD-D323-48AA-8240-79DBEE0A1BA8","Juju - Mermaid Beach","Gold Coast","Central Area","4218","370.625","0.00","370.625","1/04/26","Pippa Keddie"
"36C83DC9-E562-40A0-9E43-92952F7BF081","Birdie & Shank","Brisbane","Sunnybank","4109","370","0.00","370","1/04/26","Matthew Behan"
"D1231905-F7F5-44B6-8980-D00C04469718","Kaki Lima","Melbourne","Melbourne City","3000","362.5","0.00","362.5","1/04/26","Tom Mcgay"
"4CFDE206-79BD-46C1-B52C-94AD0309B5B9","Cafe Harmony | Pizza Pasta Grill","Melbourne","Essendon","3039","360.75","0.00","360.75","1/04/26","Tom Mcgay"
"CB155B09-8C90-4798-8E07-DB135CEE60CE","Crispy's Burgers","Perth","Joondalup","6027","360","0.00","360","1/04/26","Libby Egan"
"3736F06C-331B-4F7E-BA44-3C1EE4ACE660","The Little Spoon Co","Brisbane","Loganholme","4129","360","0.00","360","1/04/26","Jessie Helyar"
"9E4AA309-26E8-45EE-A316-E719F5DE31AF","Binny'z Pizza & Cafe","Melbourne","Clayton","3166","0","360.00","360","1/04/26","Aaron Pantazis"
"B83E75B0-8592-4802-B901-1F05AABFC03D","Valley Event Space","Brisbane","Brisbane City","4006","291.625","65.63","357.25","1/04/26","Matthew Behan"
"98AC1419-53FF-40B6-9EC8-FE08107EBE62","TQR Restaurant","Perth","Claremont","6009","356.25","0.00","356.25","1/04/26","Libby Egan"
